time,irradiance,H_sun,T2m,WS10m,Int,irradianceTotal
20230101:0010,0,0,9.32,6.69,0,0
20230101:0110,0,0,8.77,6.41,0,0
20230101:0210,0,0,8.46,6.28,0,0
20230101:0310,0,0,8.02,6.34,0,0
20230101:0410,0,0,7.93,6.07,0,0
20230101:0510,0,0,7.91,5.79,0,0
20230101:0610,0,0,7.78,5.45,0,0
20230101:0710,0,0,7.99,5.45,0,0
20230101:0810,0,0,8.08,5.31,0,0
20230101:0910,229.33,5.44,8.16,5.52,0,82558.8
20230101:1010,244.21,10.8,8.81,5.79,0,87915.6
20230101:1110,187.89,14.26,9.6,5.93,0,67640.4
20230101:1210,140.44,15.53,10.08,5.93,0,50558.4
20230101:1310,78.88,14.48,10.05,6.41,0,28396.8
20230101:1410,93.42,11.21,9.92,5.45,0,33631.2
20230101:1510,17.2,6.01,9.67,4.41,0,6192
20230101:1610,0,0,9.13,3.79,0,0
20230101:1710,0,0,8.69,3.38,0,0
20230101:1810,0,0,8.16,2.76,0,0
20230101:1910,0,0,7.58,3.24,0,0
20230101:2010,0,0,7.55,3.17,0,0
20230101:2110,0,0,7.39,3.31,0,0
20230101:2210,0,0,7.27,3.38,0,0
20230101:2310,0,0,7.25,3.45,0,0
20230102:0010,0,0,7.2,3.38,0,0
20230102:0110,0,0,6.76,3.31,0,0
20230102:0210,0,0,6.65,3.31,0,0
20230102:0310,0,0,6.27,2.9,0,0
20230102:0410,0,0,5.6,2.55,0,0
20230102:0510,0,0,4.98,2.41,0,0
20230102:0610,0,0,4.35,2.41,0,0
20230102:0710,0,0,4.83,2.48,0,0
20230102:0810,0,0,4.89,2.41,0,0
20230102:0910,83.1,5.47,4.86,2.34,0,29916
20230102:1010,425.95,10.85,5.35,2.34,0,153342
20230102:1110,571.73,14.33,5.91,3.1,0,205822.8
20230102:1210,594.61,15.61,6.16,3.38,0,214059.6
20230102:1310,551.04,14.58,6.25,3.31,0,198374.4
