datetime,cloudcover,visibility,solarE,irradiance total,solar energy,sunrise,sunriseN,sunset,sunsetN,daylight hours,,declination,declination w sign,angle in radians 
01/01/2023,65.2,21.1,16,126.9422222,50.77688889,08:15:58,8.266111111,16:12:00,16.2,07:56:02,7.933888889,23,-23,
02/01/2023,40.9,36.6,38.8,308.6001112,123.4400445,08:15:51,8.264166667,16:13:04,16.21777778,07:57:13,7.953611111,22,-22,
03/01/2023,97.4,15.8,10.6,84.53205554,33.81282222,08:15:41,8.261388889,16:14:10,16.23611111,07:58:29,7.974722222,22,-22,
04/01/2023,97.5,16.6,20.4,163.1546667,65.26186668,08:15:27,8.2575,16:15:19,16.25527778,07:59:52,7.997777778,22,-22,
05/01/2023,93.2,22.2,19.9,159.6422223,63.8568889,08:15:11,8.253055556,16:16:31,16.27527778,08:01:20,8.022222222,22,-22,
06/01/2023,76.9,37,29.7,239.0437499,95.61749996,08:14:50,8.247222222,16:17:45,16.29583333,08:02:55,8.048611111,22,-22,
07/01/2023,83,21,22,177.6805555,71.07222221,08:14:27,8.240833333,16:19:02,16.31722222,08:04:35,8.076388889,22,-22,
08/01/2023,73.1,31.2,20.5,166.163889,66.46555558,08:14:01,8.233611111,16:20:21,16.33916667,08:06:20,8.105555556,22,-22,
09/01/2023,52.8,27.3,42,341.7166667,136.6866667,08:13:31,8.225277778,16:21:41,16.36138889,08:08:10,8.136111111,22,-22,
10/01/2023,92.9,15.5,9,73.51749998,29.40699999,08:12:58,8.216111111,16:23:05,16.38472222,08:10:07,8.168611111,21,-21,
11/01/2023,71.7,20,13.6,111.5502222,44.62008887,08:12:22,8.206111111,16:24:30,16.40833333,08:12:08,8.202222222,21,-21,
12/01/2023,93,16.8,10.7,88.13530553,35.25412221,08:11:43,8.195277778,16:25:56,16.43222222,08:14:13,8.236944444,21,-21,
13/01/2023,55.7,20.6,44.2,365.6813331,146.2725333,08:11:01,8.183611111,16:27:25,16.45694444,08:16:24,8.273333333,21,-21,
14/01/2023,86.6,26.5,21.9,182.0133333,72.80533331,08:10:16,8.171111111,16:28:56,16.48222222,08:18:40,8.311111111,21,-21,
15/01/2023,63.4,36.7,29,242.1580556,96.86322225,08:09:27,8.1575,16:30:28,16.50777778,08:21:01,8.350277778,21,-21,
16/01/2023,59,48.7,37.8,317.1630001,126.8652,08:08:36,8.143333333,16:32:02,16.53388889,08:23:26,8.390555556,21,-21,
17/01/2023,13.7,38.4,35.5,299.3340279,119.7336111,08:07:42,8.128333333,16:33:37,16.56027778,08:25:55,8.431944444,20,-20,
18/01/2023,24.3,39,48.5,411.0105554,164.4042222,08:06:46,8.112777778,16:35:14,16.58722222,08:28:28,8.474444444,20,-20,
19/01/2023,17.2,29.8,50,425.9166665,170.3666666,08:05:46,8.096111111,16:36:52,16.61444444,08:31:06,8.518333333,20,-20,
20/01/2023,13.2,29.2,52.3,447.8478053,179.1391221,08:04:44,8.078888889,16:38:31,16.64194444,08:33:47,8.563055556,20,-20,
21/01/2023,42.7,9.2,21.8,187.6737777,75.06951109,08:03:39,8.060833333,16:40:11,16.66972222,08:36:32,8.608888889,20,-20,
22/01/2023,42.5,9.4,27.8,240.639889,96.25595561,08:02:31,8.041944444,16:41:53,16.69805556,08:39:22,8.656111111,19,-19,
23/01/2023,10.9,15.8,44.6,388.1934445,155.2773778,08:01:21,8.0225,16:43:35,16.72638889,08:42:14,8.703888889,19,-19,
24/01/2023,11.8,7,51.9,454.2691668,181.7076667,08:00:09,8.0025,16:45:19,16.75527778,08:45:10,8.752777778,19,-19,
25/01/2023,85.9,4.5,21,184.8525001,73.94100003,07:58:54,7.981666667,16:47:03,16.78416667,08:48:09,8.8025,19,-19,
26/01/2023,67.6,28,27.9,247.0079999,98.80319996,07:57:36,7.96,16:48:48,16.81333333,08:51:12,8.853333333,18,-18,
27/01/2023,81.7,30.7,26.2,233.3037223,93.32148891,07:56:17,7.938055556,16:50:34,16.84277778,08:54:17,8.904722222,18,-18,
28/01/2023,100,20.1,17.2,154.0642222,61.62568889,07:54:55,7.915277778,16:52:21,16.8725,08:57:26,8.957222222,18,-18,
29/01/2023,90.3,22,35.7,321.6768332,128.6707333,07:53:30,7.891666667,16:54:08,16.90222222,09:00:38,9.010555556,18,-18,
30/01/2023,57.8,22.3,57.4,520.2831664,208.1132666,07:52:04,7.867777778,16:55:55,16.93194444,09:03:51,9.064166667,17,-17,
31/01/2023,65.9,19.9,49,446.8255553,178.7302221,07:50:35,7.843055556,16:57:43,16.96194444,09:07:08,9.118888889,17,-17,
01/02/2023,70.6,17.3,41.5,380.7279166,152.2911666,07:49:05,7.818055556,16:59:32,16.99222222,09:10:27,9.174166667,17,-17,
02/02/2023,95.7,29.5,27.8,256.6017222,102.6406889,07:47:32,7.792222222,17:01:21,17.0225,09:13:49,9.230277778,17,-17,
03/02/2023,89.7,32.7,35,325.0430556,130.0172223,07:45:57,7.765833333,17:03:10,17.05277778,09:17:13,9.286944444,16,-16,
04/02/2023,95.4,13.5,13.9,129.8800556,51.95202225,07:44:21,7.739166667,17:04:59,17.08305556,09:20:38,9.343888889,16,-16,
05/02/2023,19.2,11.8,62.2,584.7836666,233.9134667,07:42:43,7.711944444,17:06:49,17.11361111,09:24:06,9.401666667,16,-16,
06/02/2023,32.2,10.9,64.6,611.1160001,244.4464,07:41:02,7.683888889,17:08:38,17.14388889,09:27:36,9.46,15,-15,
07/02/2023,34.2,9.4,63.8,607.3051108,242.9220443,07:39:20,7.655555556,17:10:28,17.17444444,09:31:08,9.518888889,15,-15,
08/02/2023,36.3,9.9,66,632.1516667,252.8606667,07:37:37,7.626944444,17:12:18,17.205,09:34:41,9.578055556,15,-15,
09/02/2023,51.6,10.9,62.5,602.3611114,240.9444446,07:35:52,7.597777778,17:14:08,17.23555556,09:38:16,9.637777778,14,-14,
10/02/2023,60.8,10.7,50.8,492.6612221,197.0644889,07:34:05,7.568055556,17:15:58,17.26611111,09:41:53,9.698055556,14,-14,
11/02/2023,97.7,12.4,27,263.4900001,105.396,07:32:16,7.537777778,17:17:48,17.29666667,09:45:32,9.758888889,14,-14,
12/02/2023,99.6,12.2,34.8,341.7359999,136.6944,07:30:26,7.507222222,17:19:38,17.32722222,09:49:12,9.82,13,-13,
13/02/2023,56.1,9.4,66.7,659.088639,263.6354556,07:28:35,7.476388889,17:21:28,17.35777778,09:52:53,9.881388889,13,-13,
14/02/2023,42.2,8.8,78.9,784.5070837,313.8028335,07:26:42,7.445,17:23:17,17.38805556,09:56:35,9.943055556,13,-13,
15/02/2023,41.7,11.7,51.3,513.27075,205.3083,07:24:48,7.413333333,17:25:07,17.41861111,10:00:19,10.00527778,12,-12,
16/02/2023,97.1,26.5,37.1,373.50425,149.4017,07:22:53,7.381388889,17:26:56,17.44888889,10:04:03,10.0675,12,-12,
17/02/2023,99.4,34.2,34,344.4294446,137.7717778,07:20:56,7.348888889,17:28:45,17.47916667,10:07:49,10.13027778,12,-12,
18/02/2023,94.5,26.2,32.4,330.2639999,132.1055999,07:18:58,7.316111111,17:30:34,17.50944444,10:11:36,10.19333333,11,-11,
19/02/2023,49.9,24,88.4,906.6893331,362.6757332,07:16:59,7.283055556,17:32:23,17.53972222,10:15:24,10.25666667,11,-11,
20/02/2023,98.7,21.8,49.7,512.9178056,205.1671222,07:14:59,7.249722222,17:34:12,17.57,10:19:13,10.32027778,11,-11,
21/02/2023,92.1,17.2,38.3,397.7029444,159.0811778,07:12:58,7.216111111,17:36:00,17.6,10:23:02,10.38388889,10,-10,
22/02/2023,89.1,22.3,57.1,596.5839722,238.6335889,07:10:55,7.181944444,17:37:48,17.63,10:26:53,10.44805556,10,-10,
23/02/2023,69.7,28.6,52.3,549.7892222,219.9156889,07:08:52,7.147777778,17:39:36,17.66,10:30:44,10.51222222,10,-10,
24/02/2023,67.6,29.9,41.9,443.1506944,177.2602777,07:06:48,7.113333333,17:41:23,17.68972222,10:34:35,10.57638889,9,-9,
25/02/2023,62.3,32.2,51.2,544.839111,217.9356444,07:04:42,7.078333333,17:43:11,17.71972222,10:38:29,10.64138889,9,-9,
26/02/2023,28,34.4,81.7,874.6892774,349.875711,07:02:36,7.043333333,17:44:58,17.74944444,10:42:22,10.70611111,9,-9,
27/02/2023,57.8,32.9,52.5,565.46875,226.1875,07:00:29,7.008055556,17:46:44,17.77888889,10:46:15,10.77083333,8,-8,
28/02/2023,76.3,38.7,52.1,564.5613888,225.8245555,06:58:21,6.9725,17:48:31,17.80861111,10:50:10,10.83611111,8,-8,
01/03/2023,95.2,40.8,50,545.0555558,218.0222223,06:56:13,6.936944444,17:50:17,17.83805556,10:54:04,10.90111111,8,-8,
02/03/2023,51.3,22.6,103.4,1133.924611,453.5698444,06:54:03,6.900833333,17:52:02,17.86722222,10:57:59,10.96638889,7,-7,
03/03/2023,98.5,27.5,34.5,380.6020835,152.2408334,06:51:53,6.864722222,17:53:48,17.89666667,11:01:55,11.03194444,7,-7,
04/03/2023,100,23.4,28.3,314.0513888,125.6205555,06:49:43,6.828611111,17:55:33,17.92583333,11:05:50,11.09722222,7,-7,
05/03/2023,96.8,25.3,36.6,408.5678333,163.4271333,06:47:31,6.791944444,17:57:18,17.955,11:09:47,11.16305556,6,-6,
06/03/2023,91.7,33.2,66.1,742.2111946,296.8844779,06:45:20,6.755555556,17:59:03,17.98416667,11:13:43,11.22861111,6,-6,
07/03/2023,82.9,31.2,72.1,814.3294448,325.7317779,06:43:07,6.718611111,18:00:47,18.01305556,11:17:40,11.29444444,5,-5,
08/03/2023,96.8,7.4,24.9,282.8709165,113.1483666,06:40:54,6.681666667,18:02:31,18.04194444,11:21:37,11.36027778,5,-5,
09/03/2023,99.8,7.3,36.4,415.9104443,166.3641777,06:38:41,6.644722222,18:04:15,18.07083333,11:25:34,11.42611111,4,-4,
10/03/2023,81.7,25,78,896.3933332,358.5573333,06:36:27,6.6075,18:05:59,18.09972222,11:29:32,11.49222222,4,-4,
11/03/2023,96.2,19.6,46.4,536.2937776,214.517511,06:34:13,6.570277778,18:07:42,18.12833333,11:33:29,11.55805556,3,-3,
12/03/2023,92.6,12.9,65.5,761.401111,304.5604444,06:31:58,6.532777778,18:09:26,18.15722222,11:37:28,11.62444444,3,-3,
13/03/2023,98.3,11.9,80.1,936.3912503,374.5565001,06:29:43,6.495277778,18:11:08,18.18555556,11:41:25,11.69027778,3,-3,
14/03/2023,51.1,34.6,137.8,1620.030389,648.0121557,06:27:28,6.457777778,18:12:51,18.21416667,11:45:23,11.75638889,2,-2,
15/03/2023,68.4,17.7,54.7,646.7059446,258.6823778,06:25:12,6.42,18:14:34,18.24277778,11:49:22,11.82277778,2,-2,
16/03/2023,99.6,19.2,20.5,243.7222222,97.48888888,06:22:56,6.382222222,18:16:16,18.27111111,11:53:20,11.88888889,1,-1,
17/03/2023,92,19.7,79.9,955.2044997,382.0817999,06:20:40,6.344444444,18:17:58,18.29944444,11:57:18,11.955,1,-1,
18/03/2023,87.2,25.3,137.8,1656.509111,662.6036445,06:18:24,6.306666667,18:19:40,18.32777778,12:01:16,12.02111111,1,-1,
19/03/2023,56.3,28.1,147.1,1778.07125,711.2284999,06:16:07,6.268611111,18:21:22,18.35611111,12:05:15,12.0875,0,0,
