name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
32 southwell street bristol,01/01/2023,10.7,7.1,9,10.7,4.7,6.9,6.6,84.9,15.815,100,50,rain,0,0,43.1,28.1,212.7,1006.8,65.2,21.1,16,1.3,1,10,2023-01-01T08:15:58,2023-01-01T16:12:00,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03853099999,03743099999,03716099999,D9855,03740099999,EGGD"
32 southwell street bristol,02/01/2023,7.6,2.4,5.3,6,0.1,3.3,3.5,88.7,1.114,100,16.67,rain,0,0,21.5,15.2,237.3,1016.9,40.9,36.6,38.8,3.4,2,10,2023-01-02T08:15:51,2023-01-02T16:13:04,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03853099999,03743099999,03716099999,E6960,D9855,03740099999"
32 southwell street bristol,03/01/2023,12.1,4.3,9.4,12.1,2,8.2,8.6,94.4,6.775,100,70.83,rain,0,0,50.9,33,203.3,1016.4,97.4,15.8,10.6,0.9,1,10,2023-01-03T08:15:41,2023-01-03T16:14:10,0.38,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03853099999,03743099999,03716099999,D9855,03740099999"
32 southwell street bristol,04/01/2023,12.3,10.4,11.7,12.3,10.4,11.7,9.5,86.6,4.371,100,29.17,rain,0,0,50.4,31.9,244.6,1015.4,97.5,16.6,20.4,1.8,1,10,2023-01-04T08:15:27,2023-01-04T16:15:19,0.42,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"03853099999,03743099999,03716099999,D9855,03740099999"
32 southwell street bristol,05/01/2023,12.2,9.8,10.9,12.2,7.5,10.7,9.2,89.7,1.275,100,33.33,rain,0,0,44,28,225,1018.1,93.2,22.2,19.9,1.7,1,10,2023-01-05T08:15:11,2023-01-05T16:16:31,0.45,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03853099999,03743099999,03716099999,E6960,D9855,03740099999"
32 southwell street bristol,06/01/2023,11.6,6.6,9.2,11.6,4.3,7.9,7.7,89.9,0.948,100,29.17,rain,0,0,50.5,31.8,203.8,1012.6,76.9,37,29.7,2.6,2,10,2023-01-06T08:14:50,2023-01-06T16:17:45,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03853099999,03743099999,03716099999,D9855,03740099999"
32 southwell street bristol,07/01/2023,11.4,7,9.8,11.4,3.6,8.5,7.7,87.2,4.666,100,79.17,rain,0,0,58.3,38.1,198.1,997.6,83,21,22,1.8,2,10,2023-01-07T08:14:27,2023-01-07T16:19:02,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,C2888"
32 southwell street bristol,08/01/2023,8.2,5.1,6.8,5.1,1.2,3.4,4.4,85,7.978,100,79.17,rain,0,0,44.7,26.3,217.5,991.1,73.1,31.2,20.5,1.8,1,10,2023-01-08T08:14:01,2023-01-08T16:20:21,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03853099999,03743099999,03716099999,E6960,D9855,03740099999"
32 southwell street bristol,09/01/2023,7.7,5.1,6.5,3.7,1.4,2.6,3.1,79.4,2.001,100,41.67,rain,0,0,53.7,35.6,269.2,1003.1,52.8,27.3,42,3.7,2,10,2023-01-09T08:13:31,2023-01-09T16:21:41,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03853099999,03743099999,03716099999,E6960,D9855,03740099999"
32 southwell street bristol,10/01/2023,12.5,4.4,9.4,12.5,1.5,8.1,7.8,90.1,5.505,100,66.67,rain,0,0,54.4,34.7,215.8,1007,92.9,15.5,9,0.8,1,10,2023-01-10T08:12:58,2023-01-10T16:23:05,0.62,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03853099999,03743099999,03716099999,E6960,D9855,03740099999"
